pointcall_outdate,different date if any,captain_name,different capt if any,ship_name,different ship_name if any,ship_homeport,different homeport if any,observations,geniève (pintes de Paris),eau-de-vie (pintes de Paris),Taffia (pintes de Paris),tabac en feuilles (livres poids),thé (livres poids),corinthes (livres poids),vin rouge (pintes),vin fin (pintes),vin (barriques),vin (pots),liqueurs (pintes),tabac en poudre (livre poids),tabac fabriqué (livres poids),tabac en côtes (livres poids),drogues (livres poids),rhubarbre (livres poids),amidon (livres poids),café (livres poids),sucre brut (livres poids),sucre rafiné (livres),sucre en pain (livres poids),mousseline (livres poids),mousseline (livres tounois),mousseline des Indes (livres tournois),mousselines et mouchoirs (livres tournois),mouchoirs de mousseline (livres poids),mouchoirs de mousselin (valeur en £-stg),mouchoirs de soie (livres poids),mouchoirs de soie (livres tournois),perses (livres poids),nankins (livres poids),nankins (pièces),mouchoirs de Bandannoes (livres poids),Bandanoes (livres poids),bandanoes (valeur livres tournois),Bandanoes (pièces),Dimity (?) (livres poids),crêpes (livres poids),Soie des Indes (livres poids),soie et mousseline (livres tournois),marchandises des Indes (livres tournois),soieries (livres tournois),Jalap (livres poids),Taffetas (livres poids),Cambray (en livres tournois),Cambray (en £ stg),cambray (livres poids),Gauzes (livres poids),mercerie fine (livres poids),sené (livres poids),nacres de perle (livres tournois),pots de vess (en bouteiilles) /  potjevleesch???,porcelaine (livres tournois),voiture,Chocolat (livres poids),cartes à jouer (en livres poids),poudre à poudrer (livres poids),ship_id,ship_tonnage,pointcall_name,homeport_uhgs_id,ship_flag_standardized_fr,source_doc_id,homeport_lat,homeport_long,homeport_standardized_fr,mois,outdate,homeport_geom4326,homeport_comte,homeport_substate_1789_fr,homeport_state_1789_fr,pointcall_uhgs_id,pointcall_toponyme_fr,pointcall_toponyme_en,pointcall_lat,pointcall_long,pointcall_substate_1789_fr,pointcall_state_1789_fr,pointcall_partner_balance_1789,pointcall_partner_balance_supp_1789,pointcall_geom4326,shipment_price,shipment_price
1787=03=09,,"Richmont, William",,Rossignol,,Burnham,,,3060,400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001145N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110110,"51,616,667","833,333",Burnham,3,1787-03-09,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2137,2137
1787=03=09,,"Robertson, William",,Speedwell,,Burnham,,,2040,760,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000116N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110108,"51,616,667","833,333",Burnham,3,1787-03-09,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1724,1724
1787=03=07,,"Stone, Thomas",,Clevely,Cleverly,Burnham,,,2540,300,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001120N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110103,"51,616,667","833,333",Burnham,3,1787-03-07,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1747,1747
1787=02=25,,"Dyer, John","Dyer, Jean",Pinck,,Burnham,,,1720,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001121N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110049,"51,616,667","833,333",Burnham,2,1787-02-25,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1983,1983
1787=02=24,,"Richmond, William",,Rossignol,Nightingale,Burnham,,,2600,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001145N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110044,"51,616,667","833,333",Burnham,2,1787-02-24,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2314,2314
1787=02=21,,"Wiseman, James",,Aimable Anne,,Burnham,,,2400,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001284N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110014,"51,616,667","833,333",Burnham,2,1787-02-21,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1676,1676
1787=02=21,,"Stone, Thomas",,Drostemont,Adroitement,Burnham,,,1800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0004063N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110012,"51,616,667","833,333",Burnham,2,1787-02-21,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1535,1535
1787=02=20,,"Reed, George",,Burnham,,Burnham,,,1620,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001541N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110007,"51,616,667","833,333",Burnham,2,1787-02-20,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2137,2137
1787=02=19,,"Campbell, John",,Hazard,,Burnham,,,2520,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002993N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110002,"51,616,667","833,333",Burnham,2,1787-02-19,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1499,1499
1787=02=12,,"Dyer, John",,Pink,Pinck,Burnham,,,1400,2200,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001121N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109968,"51,616,667","833,333",Burnham,2,1787-02-12,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2148,2148
1787=02=21,,"Goodift, John",,William et Henry,,Burnham,,,1000,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000975N,12,Lisbonne [mais: Angleterre],A0390524,britannique,110010,"51,616,667","833,333",Burnham,2,1787-02-21,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),838,838
1787=02=07,,"Wyseman, James",,Aimable Anne,,Burnham,,,2012,320,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001284N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109931,"51,616,667","833,333",Burnham,2,1787-02-07,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1494,1494
1787=02=01,,"Pitt, Edmond",,Hazard,,Burnham,,,1260,800,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002993N,12,Lisbonne [mais: Angleterre],A0390524,britannique,109887,"51,616,667","833,333",Burnham,2,1787-02-01,POINT (0.833333 51.616667),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1240,1240
1787=05=22,,"Pen, Jean",,Bonne Intention,,Harwich,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009858N,12,Lisbonne [mais: Angleterre],A0386567,britannique,110640,"51,95","1,3",Harwich,5,1787-05-22,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),47,47
1787=09=20,,"Freeman, Thomas",,Bonne Intention,,Harwich,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009858N,12,Bergen [mais: Angleterre],A0386567,britannique,111396,"51,95","1,3",Harwich,9,1787-09-20,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=11=08,,"Messor, Richard",,Bonne Intention,,,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0009852N,12,Lisbonne [mais: Angleterre],,britannique,111651,,,,11,1787-11-08,,,,,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=09=13,,"Spalding, Benjamin",,Sally,,Harwich,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0012549N,90,Harwich,A0386567,britannique,111338,"51,95","1,3",Harwich,9,1787-09-13,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0386567,Harwich,Harwich,"51,95","1,3",Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (1.3 51.95),0,0
1787=09=05,,"Burck, Benjamin",,Union,,Hearing [Harwich],,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003906N,12,Lisbonne [mais: Angleterre],A0386567,britannique,111260,"51,95","1,3",Harwich,9,1787-09-05,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=08=28,,"Foster, James",,Providence,,Harwich,,,120,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000619N,12,Lisbonne [mais: Angleterre],A0386567,britannique,111212,"51,95","1,3",Harwich,8,1787-08-28,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),94,94
1787=08=16,,"Carenton, Richard",,Marin,,Hearing [Harwich],Aereng,,400,40,180,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000922N,12,Lisbonne [mais: Angleterre],A0386567,britannique,111138,"51,95","1,3",Harwich,8,1787-08-16,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),384,384
1787=08=15,1787=08=16,"Walford, John","Walfort, Jean",Effort,,Harwich,,,140,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001999N,12,Lisbonne [mais: Angleterre],A0386567,britannique,111132,"51,95","1,3",Harwich,8,1787-08-15,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),118,118
1787=08=06,,"Watson, Richard",,Surs,,Haring [Harwich],Airing,,40,120,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002467N,12,Lisbonne [mais: Angleterre],A0386567,britannique,111075,"51,95","1,3",Harwich,8,1787-08-06,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),130,130
1787=07=27,1787=07=28,"Burfield, Henry",,Long Succes,Long Splice,Bearing,Hearing,,160,620,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0012385N,12,Lisbonne [mais: Angleterre],A0386567,britannique,111020,"51,95","1,3",Harwich,7,1787-07-27,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),696,696
1787=05=15,,"Middleton, John",,Hirondelle,,Douvres,,,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000061N,12,Lisbonne [mais: Angleterre],A0382747,britannique,110582,"51,133,333","1,3",Douvres,5,1787-05-15,POINT (1.3 51.133333),Kent,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),35,35
1787=05=25,1787=04=24,"Holden, John",,Diligence,,Harwich,,,80,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003620N,12,Lisbonne [mais: Angleterre],A0386567,britannique,110657,"51,95","1,3",Harwich,5,1787-05-25,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),130,130
1787=05=16,,"Bow, William","Row, WIlliam",Sally,,Harwich,,,140,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002075N,12,Lisbonne [mais: Angleterre],A0386567,britannique,110595,"51,95","1,3",Harwich,5,1787-05-16,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),142,142
1787=04=04,,"Walls, William","Walles, William",Trois Frères,,Harwich,,,4660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000484N,12,Lisbonne [mais: Angleterre],A0386567,britannique,110345,"51,95","1,3",Harwich,4,1787-04-04,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2751,2751
1787=03=17,,"Keabal, James","Keable, James",John et Gracy,John et Gray,Harwich,,,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003621N,12,Bergen [mais: Angleterre],A0386567,britannique,110184,"51,95","1,3",Harwich,3,1787-03-17,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),71,71
1787=08=16,,"Burch, Beuzy",,Amitié,,Harwich,,,80,120,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001159N,12,Lisbonne [mais: Angleterre],A0386567,britannique,111139,"51,95","1,3",Harwich,8,1787-08-16,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),130,130
1787=03=09,,"Poundy, Guillaume","Poundy, William",Fleur de May,,Harwich,,,3200,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001113N,12,Lisbonne [mais: Angleterre],A0386567,britannique,110117,"51,95","1,3",Harwich,3,1787-03-09,POINT (1.3 51.95),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2125,2125
1787=10=19,,"Scory, Guillaume",,Actif,,Southampton,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,,,,,,,,,,,,,,,,,0003264N,12,Lisbonne [mais: Angleterre],A0408148,britannique,111579,"50,9","-1,4",Southampton,10,1787-10-19,POINT (-1.4 50.9),Hampshire,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),8380,8380
1787=07=06,,"Harman, Richard",,Bag,Bugg,Pett,,,1200,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002466N,12,Lisbonne [mais: Angleterre],A0387364,britannique,110887,"50,883,333","666,667",Pett,7,1787-07-06,POINT (0.666667 50.883333),Sussex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),944,944
1787=03=09,,"Wesney, Jonathan",,Wasp,,Maldon,,,2160,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000010N,12,Lisbonne [mais: Angleterre],A0389696,britannique,110114,"51,731,704","67,344",Maldon,3,1787-03-09,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1499,1499
1787=07=11,,"Bishop, Samuel",,Demoiselle,,Greenwich,,,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0004053N,12,Lisbonne [mais: Angleterre],A0397762,britannique,110917,"51,466,667",0,Greenwich,7,1787-07-11,POINT (0 51.466667),Surrey,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),83,83
1787=11=09,,"French, Robert",,Neptune,,Maldon,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000845N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111661,"51,731,704","67,344",Maldon,11,1787-11-09,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=12=14,,"Mowl, William",,Prospereux,,Maldon,Malden,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001066N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111874,"51,731,704","67,344",Maldon,12,1787-12-14,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1062,1062
1787=12=10,,"Furten, Edmond","Sarter, Edmond",William et Henry,,Malden,,,1260,240,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0010442N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111827,"51,731,704","67,344",Maldon,12,1787-12-10,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1245,1245
1787=12=07,1787=12=06,"French, Robert",,Neptune,,Maldon,Malden,,1900,500,,1000,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000845N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111819,"51,731,704","67,344",Maldon,12,1787-12-07,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1777,1777
1787=11=22,,"Dyer, James",,Ways,,Maldon,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000010N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111730,"51,731,704","67,344",Maldon,11,1787-11-22,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=11=22,,"French, Robert",,Neptune,,Maldon,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000845N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111729,"51,731,704","67,344",Maldon,11,1787-11-22,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=11=19,,"Robinson, William",,Rover,,Maldon,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001614N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111715,"51,731,704","67,344",Maldon,11,1787-11-19,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=11=13,,"Dyer, James",,Wasp,,Maldon,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000010N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111679,"51,731,704","67,344",Maldon,11,1787-11-13,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=09=15,,"French, Robert",,Lively,,Maldon,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001299N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111357,"51,731,704","67,344",Maldon,9,1787-09-15,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=09=12,,"Dyer, James",,Wasp,,Maldon,,NO MANUSCRIPT FOR THIS MONTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000010N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111326,"51,731,704","67,344",Maldon,9,1787-09-12,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),0,0
1787=08=18,,"Waller, Vincent",,Guillaume et Marie,,Malden,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000962N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111159,"51,731,704","67,344",Maldon,8,1787-08-18,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),531,531
1787=08=11,,"Foster, Edmond","Sarter, Edmond",William et Marie,William et Henry,Maldon,,,2800,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000621N,12,Lisbonne [mais: Angleterre],A0389696,britannique,111105,"51,731,704","67,344",Maldon,8,1787-08-11,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1700,1700
1787=07=24,,"French, Robert",,Lively,,Maldon,Malden,,900,1600,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001299N,12,Lisbonne [mais: Angleterre],A0389696,britannique,110996,"51,731,704","67,344",Maldon,7,1787-07-24,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),1653,1653
1787=07=21,1787=07=22,"Dyer, James",,Wasp,,Malden,,,400,800,400,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000010N,12,Lisbonne [mais: Angleterre],A0389696,britannique,110986,"51,731,704","67,344",Maldon,7,1787-07-21,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),2024,2024
1787=07=10,1787=07=08,"Robinson, William","Robertson, William",Rose,,Maldon,Malden,,1260,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001614N,12,Lisbonne [mais: Angleterre],A0389696,britannique,110910,"51,731,704","67,344",Maldon,7,1787-07-10,POINT (0.67344 51.731704),Essex,Angleterre,Grande-Bretagne,A0394917,Angleterre (destination simulée pour),England (fake destination for),53,-2,Angleterre,Grande-Bretagne,Angleterre,Etranger,POINT (-2 53),956,956
